"year","name",value
"2012","전라남도",16990
"2012","경상북도",24635
"2012","경상남도",33211
"2012","제주특별자치도",5992
"2013","서울특별시",84066
"2013","부산광역시",25831
"2013","대구광역시",19340
"2013","인천광역시",25560
"2013","광주광역시",12729
"2013","대전광역시",14099
"2013","울산광역시",11330
"2013","세종특별자치시",1111
"2013","경기도",112129
"2013","강원특별자치도",10980
"2013","충청북도",13658
"2013","충청남도",18628
"2013","전라북도",14555
"2013","전라남도",15401
"2013","경상북도",22206
"2013","경상남도",29504
"2013","제주특별자치도",5328
"2014","서울특별시",83711
"2014","부산광역시",26190
"2014","대구광역시",19361
"2014","인천광역시",25786
"2014","광주광역시",12729
"2014","대전광역시",13962
"2014","울산광역시",11556
"2014","세종특별자치시",1344
"2014","경기도",112169
"2014","강원특별자치도",10662
"2014","충청북도",13366
"2014","충청남도",18200
"2014","전라북도",14231
"2014","전라남도",14817
"2014","경상북도",22062
"2014","경상남도",29763
"2014","제주특별자치도",5526
"2015","서울특별시",83005
"2015","부산광역시",26645
"2015","대구광역시",19438
"2015","인천광역시",25491
"2015","광주광역시",12441
"2015","대전광역시",13774
"2015","울산광역시",11732
"2015","세종특별자치시",2708
"2015","경기도",113495
"2015","강원특별자치도",10929
"2015","충청북도",13563
"2015","충청남도",18604
"2015","전라북도",14087
"2015","전라남도",15061
"2015","경상북도",22310
"2015","경상남도",29537
"2015","제주특별자치도",5600
"2016","서울특별시",75536
"2016","부산광역시",24906
"2016","대구광역시",18298
"2016","인천광역시",23609
"2016","광주광역시",11580
"2016","대전광역시",12436
"2016","울산광역시",10910
"2016","세종특별자치시",3297
"2016","경기도",105643
"2016","강원특별자치도",10058
"2016","충청북도",12742
"2016","충청남도",17302
"2016","전라북도",12698
"2016","전라남도",13980
"2016","경상북도",20616
"2016","경상남도",27138
"2016","제주특별자치도",5494
"2017","서울특별시",65389
"2017","부산광역시",21480
"2017","대구광역시",15946
"2017","인천광역시",20445
"2017","광주광역시",10120
"2017","대전광역시",10851
"2017","울산광역시",9381
"2017","세종특별자치시",3504
"2017","경기도",94088
"2017","강원특별자치도",8958
"2017","충청북도",11394
"2017","충청남도",15670
"2017","전라북도",11348
"2017","전라남도",12354
"2017","경상북도",17957
"2017","경상남도",23849
"2017","제주특별자치도",5037
"2018","서울특별시",58074
"2018","부산광역시",19152
"2018","대구광역시",14400
"2018","인천광역시",20087
"2018","광주광역시",9105
"2018","대전광역시",9337
"2018","울산광역시",8149
"2018","세종특별자치시",3703
"2018","경기도",88175
"2018","강원특별자치도",8351
"2018","충청북도",10586
"2018","충청남도",14380
"2018","전라북도",10001
"2018","전라남도",11238
"2018","경상북도",16079
"2018","경상남도",21224
"2018","제주특별자치도",4781
"2019","서울특별시",53673
"2019","부산광역시",17049
